"Code","Year","Site","Lat","Long","Elevation","Quadrat","Aspect","Degree.easting","Degree.northing","Average.slope","species_richness","hill_1","hill_2"
"2022_MF_NE_MF20",2022,"MF",-36.829469,147.319257,1870,"MF20","NE",0.70710808,0.707105483,5.710593137,19,10.8992120306493,0.113858574384356
"2022_MF_NW_MF1",2022,"MF",-36.829469,147.319257,1870,"MF1","NW",-0.70709769,0.707115872,5.710593137,16,6.26334070855703,0.216271897514016
"2022_MF_NW_MF2",2022,"MF",-36.829469,147.319257,1870,"MF2","NW",-0.70709769,0.707115872,5.710593137,16,9.40227906421509,0.160882039890786
"2022_MF_NW_MF3",2022,"MF",-36.829469,147.319257,1870,"MF3","NW",-0.70709769,0.707115872,5.710593137,14,6.20927225593546,0.24716049382716
"2022_MF_NW_MF4",2022,"MF",-36.829469,147.319257,1870,"MF4","NW",-0.70709769,0.707115872,5.710593137,16,11.5116325549741,0.114916738754325
"2022_MF_NW_MF5",2022,"MF",-36.829469,147.319257,1870,"MF5","NW",-0.70709769,0.707115872,5.710593137,14,6.0074310226591,0.301807929977544
"2022_MF_SE_MF11",2022,"MF",-36.829469,147.319257,1870,"MF11","SE",0.707102885,-0.707110677,5.710593137,15,7.94697927737294,0.160300925925926
"2022_MF_SE_MF12",2022,"MF",-36.829469,147.319257,1870,"MF12","SE",0.707102885,-0.707110677,5.710593137,19,10.1994969643877,0.147750055691691
"2022_MF_SE_MF13",2022,"MF",-36.829469,147.319257,1870,"MF13","SE",0.707102885,-0.707110677,5.710593137,12,3.62658299589599,0.409111177170036
"2022_MF_SE_MF14",2022,"MF",-36.829469,147.319257,1870,"MF14","SE",0.707102885,-0.707110677,5.710593137,22,9.43158873073832,0.161563558017852
"2022_MF_SE_MF15",2022,"MF",-36.829469,147.319257,1870,"MF15","SE",0.707102885,-0.707110677,5.710593137,25,18.1160580264024,0.0659750972519489
"2022_MF_SW_MF10",2022,"MF",-36.829469,147.319257,1870,"MF10","SW",-0.707113275,-0.707100288,5.710593137,16,5.8142137214393,0.254581959512977
"2022_MF_SW_MF6",2022,"MF",-36.829469,147.319257,1870,"MF6","SW",-0.707113275,-0.707100288,5.710593137,13,4.58725741522822,0.369653892613925
"2022_MF_SW_MF7",2022,"MF",-36.829469,147.319257,1870,"MF7","SW",-0.707113275,-0.707100288,5.710593137,18,9.14130347917612,0.15820711450264
"2022_MF_SW_MF8",2022,"MF",-36.829469,147.319257,1870,"MF8","SW",-0.707113275,-0.707100288,5.710593137,12,4.77619618725271,0.263890285346578
"2022_MF_SW_MF9",2022,"MF",-36.829469,147.319257,1870,"MF9","SW",-0.707113275,-0.707100288,5.710593137,13,5.48315227720001,0.266493055555556
"2022_MHW_NE_MHW16",2022,"MHW",-37.17599001,146.641849,1720,"MHW16","NE",0.70710808,0.707105483,13.25818584,7,4.74234933723859,0.255962976148095
"2022_MHW_NE_MHW17",2022,"MHW",-37.17599001,146.641849,1720,"MHW17","NE",0.70710808,0.707105483,13.25818584,10,7.42933631001291,0.171467764060357
"2022_MHW_NE_MHW18",2022,"MHW",-37.17599001,146.641849,1720,"MHW18","NE",0.70710808,0.707105483,13.25818584,7,5.54298847697531,0.22189349112426
"2022_MHW_NE_MHW19",2022,"MHW",-37.17599001,146.641849,1720,"MHW19","NE",0.70710808,0.707105483,13.25818584,9,5.07227590166659,0.319526627218935
"2022_MHW_NE_MHW20",2022,"MHW",-37.17599001,146.641849,1720,"MHW20","NE",0.70710808,0.707105483,13.25818584,6,3.86056127169637,0.323251417769376
"2022_MHW_NW_MHW1",2022,"MHW",-37.17599001,146.641849,1720,"MHW1","NW",-0.70709769,0.707115872,15.69513405,6,3.21787768004822,0.380945303210464
"2022_MHW_NW_MHW2",2022,"MHW",-37.17599001,146.641849,1720,"MHW2","NW",-0.70709769,0.707115872,15.69513405,5,3.08125192160231,0.428994082840237
"2022_MHW_NW_MHW3",2022,"MHW",-37.17599001,146.641849,1720,"MHW3","NW",-0.70709769,0.707115872,15.69513405,13,9.6700423169141,0.127788228970707
"2022_MHW_NW_MHW4",2022,"MHW",-37.17599001,146.641849,1720,"MHW4","NW",-0.70709769,0.707115872,15.69513405,8,4.10379761169898,0.342952806122449
"2022_MHW_NW_MHW5",2022,"MHW",-37.17599001,146.641849,1720,"MHW5","NW",-0.70709769,0.707115872,15.69513405,9,5.7315095648007,0.224874449748899
